index,timestamp,direction,outcome,setup_score,passed_checks,chk_structure_aligned,chk_secondary_confirmation,chk_htf_aligned,chk_vwap_aligned,chk_ema_aligned,chk_rsi_not_extreme,chk_adx_trending,chk_volume_above_average,regime,htf_score,structure_type,cisd,fvg,order_block,sweep_kind,level_source,sweep_reaction,sweep_reaction_atr_ratio,bars_to_reclaim,rsi14,macd,adx,atr14,above_vwap,above_ema20,ema20_gt_ema50,volume,volume_ratio,probability,confidence,rr,risk_amount,reward_amount,time_bucket,day_of_week
1246,2024-01-23T07:30:00+00:00,BEARISH,WIN,75.0,6,True,True,True,False,True,True,True,False,BEARISH,-0.194,CHOCH,True,True,False,UPPER_SWEEP,EQUAL_LOW,29.075,0.9752031743156807,3,24.16,-47.3165,41.69,29.8143,,False,False,0.0,,0.5965,64.0,2.0,41.5314,83.0629,MID,Tuesday
1262,2024-01-23T08:50:00+00:00,BEARISH,WIN,75.0,6,True,True,True,False,True,True,True,False,BEARISH,-0.253,BOS,False,True,False,UPPER_SWEEP,EQUAL_LOW,6.3,0.24224154173283446,3,25.22,-39.1035,52.32,26.0071,,False,False,0.0,,0.5965,41.5,2.0,69.4007,138.8014,MID,Tuesday
1276,2024-01-24T03:45:00+00:00,BEARISH,LOSS,75.0,6,True,True,True,False,True,True,True,False,BEARISH,-0.307,BOS,False,True,False,UPPER_SWEEP,PDL,78.65,2.0508474576271185,1,30.87,-40.094,53.67,38.35,,False,False,0.0,,0.5965,68.6,2.0,128.335,256.67,OPENING,Wednesday
1302,2024-01-24T05:55:00+00:00,BEARISH,TIMEOUT,75.0,6,True,True,True,False,True,True,True,False,BEARISH,-0.167,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_LOW,57.45,1.9918246778236586,1,36.48,12.4404,23.88,28.8429,,False,True,0.0,,0.5965,63.9,2.0,94.2843,188.5686,MID,Wednesday
1317,2024-01-24T07:10:00+00:00,BEARISH,LOSS,62.5,5,True,True,True,False,True,True,False,False,BEARISH,-0.204,CHOCH,True,False,False,UPPER_SWEEP,EQUAL_LOW,24.45,0.7126056886044295,2,42.72,-26.8145,18.23,34.3107,,False,False,0.0,,0.5259,51.4,2.0,36.2311,72.4621,MID,Wednesday
1335,2024-01-24T08:40:00+00:00,BULLISH,WIN,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,-0.093,BOS,False,False,True,LOWER_SWEEP,EQUAL_HIGH,41.6167,1.5362781614881151,3,54.75,9.5728,19.56,27.0893,,True,False,0.0,,0.4541,53.1,2.0,49.0089,98.0179,MID,Wednesday
1348,2024-01-24T09:45:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,False,True,False,RANGE,0.017,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,26.4,1.0095602294455066,3,87.01,40.5434,79.73,26.15,,True,True,0.0,,0.4541,50.6,2.0,75.915,151.83,CLOSING,Wednesday
1363,2024-01-25T04:45:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.11,BOS,False,False,True,UPPER_SWEEP,EQUAL_LOW,56.8,1.4362875002528674,2,28.93,-4.6419,87.72,39.5464,,False,True,0.0,,0.5259,57.8,2.0,62.9546,125.9093,MID,Thursday
1379,2024-01-25T06:05:00+00:00,BULLISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,-0.082,CHOCH,True,False,True,LOWER_SWEEP,EQUAL_HIGH,53.1667,1.8152260381777645,0,58.19,-17.0466,35.82,29.2893,,True,False,0.0,,0.5259,56.9,2.0,68.3789,136.7579,MID,Thursday
1416,2024-01-25T09:10:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,-0.132,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_LOW,31.25,1.65876651467942,2,41.06,-7.06,3.04,18.8393,,False,False,0.0,,0.4541,54.4,2.0,38.0339,76.0679,CLOSING,Thursday
1428,2024-01-29T03:55:00+00:00,BULLISH,TIMEOUT,50.0,4,True,True,False,False,True,False,True,False,TRANSITION,0.118,CHOCH,False,True,False,LOWER_SWEEP,PDH,91.6,2.6136778670562455,3,89.42,51.0621,87.79,35.0464,,True,True,0.0,,0.4541,53.9,2.0,182.2546,364.5093,OPENING,Monday
1442,2024-01-29T05:05:00+00:00,BULLISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.142,BOS,True,False,True,LOWER_SWEEP,EQUAL_HIGH,20.75,0.8084027131163828,3,67.09,65.0735,54.1,25.6679,,True,True,0.0,,0.5259,52.5,2.0,41.5668,83.1336,MID,Monday
1457,2024-01-29T06:20:00+00:00,BULLISH,TIMEOUT,75.0,6,True,True,True,False,True,True,True,False,BULLISH,0.157,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,34.725,1.5090805581751099,3,65.31,39.826,31.88,23.0107,,True,True,0.0,,0.5965,63.6,2.0,44.8511,89.7021,MID,Monday
1494,2024-01-29T09:25:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.134,BOS,True,False,True,UPPER_SWEEP,EQUAL_LOW,39.65,2.0174420971221556,3,44.86,14.2964,19.28,19.6536,,False,True,0.0,,0.4541,54.5,2.0,45.0654,90.1307,CLOSING,Monday
1510,2024-01-30T04:30:00+00:00,BULLISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.141,CHOCH,False,True,False,LOWER_SWEEP,PDH,56.15,1.4954829224639379,1,53.38,8.6066,19.1,37.5464,,True,True,0.0,,0.4541,54.7,2.0,65.6546,131.3093,MID,Tuesday
1524,2024-01-30T05:40:00+00:00,BEARISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.061,BOS,True,True,False,UPPER_SWEEP,EQUAL_LOW,27.175,1.0644923732597948,2,27.43,-11.9419,69.84,25.5286,,False,True,0.0,,0.5259,56.2,2.0,36.4529,72.9057,MID,Tuesday
1538,2024-01-30T06:50:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.063,CHOCH,True,False,False,UPPER_SWEEP,EQUAL_LOW,12.57,0.67347824456315,2,53.9,-3.4265,31.75,18.6643,,False,True,0.0,,0.5259,45.4,2.0,24.4164,48.8329,MID,Tuesday
1559,2024-01-30T08:35:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.016,BOS,False,False,True,UPPER_SWEEP,EQUAL_LOW,30.775,1.5450926051441165,3,23.84,-11.7264,67.81,19.9179,,False,False,0.0,,0.5259,54.7,2.0,37.9918,75.9836,MID,Tuesday
1576,2024-01-31T03:45:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,False,True,False,TRANSITION,-0.106,BOS,True,True,True,UPPER_SWEEP,PDL,33.7,1.0703271643952652,3,18.11,-43.9403,89.28,31.4857,,False,False,0.0,,0.4541,53.5,2.0,59.5986,119.1971,OPENING,Wednesday
1589,2024-01-31T04:50:00+00:00,BULLISH,WIN,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.01,BOS,True,False,False,LOWER_SWEEP,EQUAL_HIGH,23.2,0.6443173707407706,3,67.75,0.6414,21.47,36.0071,,True,False,0.0,,0.5259,42.6,2.0,48.5507,97.1014,MID,Wednesday
1603,2024-01-31T06:00:00+00:00,BULLISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.083,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,55.95,2.3382061633359243,2,70.64,24.4563,48.61,23.9286,,True,True,0.0,,0.5259,56.9,2.0,60.8429,121.6857,MID,Wednesday
1645,2024-01-31T09:30:00+00:00,BULLISH,WIN,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.081,CHOCH,True,False,True,LOWER_SWEEP,EQUAL_HIGH,37.85,2.028718289551967,1,61.83,5.0473,27.03,18.6571,,True,True,0.0,,0.5259,56.9,2.0,44.5657,89.1314,CLOSING,Wednesday
